Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
ENSMUSG00000001440,5629.28069696944,-0.230045374841586,0.0621504765673457,-3.70142575805209,0.000214391388874,0.000467739261824,Kpnb1
ENSMUSG00000001441,1905.26970458382,-0.310509191184966,0.0734089952713461,-4.22985207789879,2.33845026500759e-05,5.67417412685332e-05,Npepps
ENSMUSG00000018882,934.10523012424,0.206707863084453,0.0932562177442195,2.21655851035483,0.0266532754142023,0.0423416171523602,Mrpl45
ENSMUSG00000038485,738.258659089477,0.0097133822653529,0.118277425160179,0.0821237210076097,0.934548330197505,0.951414416637944,Socs7
ENSMUSG00000049807,471.22529629051,-0.661327220615127,0.122370324600867,-5.40431042225444,6.50581903524214e-08,1.99442770571205e-07,Arhgap23
ENSMUSG00000043439,89.1742770837507,-2.38825630095708,0.329824782693939,-7.24098499042523,4.4543770505521996e-13,1.9169128455005197e-12,E130012A19Rik
ENSMUSG00000038437,705.642638406607,-0.757240695321657,0.108232526787706,-6.99642443723922,2.6257728307381297e-12,1.0823750217028798e-11,Mllt6
ENSMUSG00000078695,231.947610346066,-0.824447722147747,0.170260336449866,-4.84227706427979,1.28359612830656e-06,3.53907404552686e-06,Cisd3
ENSMUSG00000018537,118.568197083715,-1.64581749816658,0.254380817696826,-6.46989624873399,9.807023058351259e-11,3.68587484272907e-10,Pcgf2
ENSMUSG00000069744,779.36014884622,0.797421723482572,0.109887408996298,7.25671604022839,3.9660106995993497e-13,1.7114525151992698e-12,Psmb3
ENSMUSG00000018547,1433.04230713767,0.545201417407041,0.082987919616316,6.56964796717052,5.0434355079549695e-11,1.93383168604164e-10,Pip4k2b
ENSMUSG00000018541,727.10483246337,0.191475654091698,0.104559476734139,1.83126063817782,0.0670616497515182,0.0977891289984003,Cwc25
ENSMUSG00000071415,1352.72136194051,-0.674631340328012,0.0851699443911991,-7.92100247511402,2.35603250156134e-15,1.14714599599738e-14,Rpl23
